"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","59.31","202201","6","8,000","6","1990","송도로 143","","중개거래","광주 광산구"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","39.15","202201","25","5,700","1","1990","송도로 143","","중개거래","광주 광산구"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","59.31","202202","15","7,300","1","1990","송도로 143","","중개거래","광주 광산구"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","39.15","202202","15","6,000","4","1990","송도로 143","","중개거래","광주 광산구"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","31.59","202203","26","5,000","10","1990","송도로 143","","중개거래","광주 광산구"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","39.15","202205","11","6,800","6","1990","송도로 143","","중개거래","광주 광산구"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","59.31","202205","14","8,500","3","1990","송도로 143","","중개거래","광주 광산구"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","59.31","202211","28","12,000","3","1990","송도로 143","","중개거래","광주 광산구"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","31.59","202211","30","5,200","2","1990","송도로 143","","중개거래","광주 광산구"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","59.31","202212","3","10,000","9","1990","송도로 143","","중개거래","광주 광산구"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202201","24","21,300","7","2000","송도로182번길 55","","중개거래","광주 광산구"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202202","19","21,000","2","2000","송도로182번길 55","","중개거래","광주 광산구"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202203","26","22,700","4","2000","송도로182번길 55","","중개거래","광주 광산구"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202204","25","25,000","5","2000","송도로182번길 55","","직거래","-"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202205","10","21,500","13","2000","송도로182번길 55","","직거래","-"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202205","12","23,800","7","2000","송도로182번길 55","","중개거래","광주 광산구"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202205","16","21,300","1","2000","송도로182번길 55","","중개거래","광주 광산구"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202205","26","23,000","5","2000","송도로182번길 55","","중개거래","광주 광산구"
